Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,'39159595139172,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39160887771236,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39161017892964,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of polyester, the same material as safety belts.\n•\tAdjustable on the neck and waist.\n•\tHas two spots to attach to the leash: neck and waist.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material das cintas seguras.\n•\tAjustável na garganta e no pescoço.\n•\tPossui duas pequenas áreas para anexar à correia: garganta e pescoço.\n•\tTranca de super resistente com um sistema de segurança.\n•\tProduto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39161035063396,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tNon-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n•\tAdjustable in the belly and neck.\n•\tPractical to put on and comfortable to wear.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs. Super resistant lock with a safety system.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tTecido não aquecedor : feito de tecido aerado que permite ventilação da pele e pelo.\n•\tAjustável no barriga e pescoço.\n•\tPrático para colocar e confortável para usar.\n•\tFerragem super resistente com sistema de segurança.\n•\tProduto indicado apenas para cães. Ferragem super resistente com sistema de segurança.\n""}]}]}"
METAFIELD,'39161052135524,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39161071861860,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super light so you cat can be comfortable.\n-Printed poliester with heat transfer teteron technology.\n-It has a soft texture.\n-Adjustable to fit the cat's measurements.\n-Exclusive prints.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super leve para que o gato possa se sentir confortável.\n-Impresso em poliéster com tecnologia de transferência térmica tereton.\n-Possui um tecido mole.\n-Ajustável a medida do gato.\n-Exclusivos desenhos.\n""}]}]}"
METAFIELD,'39161133695076,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39161164136548,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39161202245732,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of polyester, the same material as safety belts.\n•\tAdjustable on the neck and waist.\n•\tHas two spots to attach to the leash: neck and waist.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material das cintas seguras.\n•\tAjustável na garganta e no pescoço.\n•\tPossui duas pequenas áreas para anexar à correia: garganta e pescoço.\n•\tTranca de super resistente com um sistema de segurança.\n•\tProduto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39161265487972,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Non-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n-Practical to put on and comfortable to wear.\n-Super resistent lock with a safety system.\n-Product indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Tecido não aquecedor : feito de tecido aerado que permite ventilação da pele e do pelo.\n-Prático para colocar e confortável para usar.\n-Super resistente ferrolho com sistema de segurança.\n-Produto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39161284395108,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39161300910180,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super light so you cat can be comfortable.\n-Printed poliester with heat transfer teteron technology.\n-It has a soft texture.\n-Adjustable to fit the cat's measurements.\n-Exclusive prints.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super leve para que o gato possa se sentir confortável.\n-Impresso em poliéster com tecnologia de transferência térmica tereton.\n-Possui um tecido mole.\n-Ajustável a medida do gato.\n-Exclusivos desenhos.\n""}]}]}"
METAFIELD,'39161339936868,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tNon-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n•\tAdjustable in the belly and neck.\n•\tPractical to put on and comfortable to wear.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs. Super resistant lock with a safety system.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tTecido não aquecedor : feito de tecido aerado que permite ventilação da pele e pelo.\n•\tAjustável no barriga e pescoço.\n•\tPrático para colocar e confortável para usar.\n•\tFerragem super resistente com sistema de segurança.\n•\tProduto indicado apenas para cães. Ferragem super resistente com sistema de segurança.\n""}]}]}"
METAFIELD,'39161557745764,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39161587073124,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39161615581284,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39161647071332,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super light so you cat can be comfortable.\n-Printed poliester with heat transfer teteron technology.\n-It has a soft texture.\n-Adjustable to fit the cat's measurements.\n-Exclusive prints.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Super leve para que o gato possa se sentir confortável.\n-Impresso em poliéster com tecnologia de transferência térmica tereton.\n-Possui um tecido mole.\n-Ajustável a medida do gato.\n-Exclusivos desenhos.\n""}]}]}"
METAFIELD,'39161690685540,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39161744949348,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39161779552356,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of polyester, the same material as safety belts.\n•\tAdjustable on the neck and waist.\n•\tHas two spots to attach to the leash: neck and waist.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material das cintas seguras.\n•\tAjustável na garganta e no pescoço.\n•\tPossui duas pequenas áreas para anexar à correia: garganta e pescoço.\n•\tTranca de super resistente com um sistema de segurança.\n•\tProduto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39161907904612,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tNon-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n•\tAdjustable in the belly and neck.\n•\tPractical to put on and comfortable to wear.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs. Super resistant lock with a safety system.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tTecido não aquecedor : feito de tecido aerado que permite ventilação da pele e pelo.\n•\tAjustável no barriga e pescoço.\n•\tPrático para colocar e confortável para usar.\n•\tFerragem super resistente com sistema de segurança.\n•\tProduto indicado apenas para cães. Ferragem super resistente com sistema de segurança.\n""}]}]}"
METAFIELD,'39161933168740,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39162315636836,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Non-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n-Practical to put on and comfortable to wear.\n-Super resistent lock with a safety system.\n-Product indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Tecido não aquecedor : feito de tecido aerado que permite ventilação da pele e do pelo.\n-Prático para colocar e confortável para usar.\n-Super resistente ferrolho com sistema de segurança.\n-Produto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39162362298468,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39162388545636,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39162437140580,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of polyester, the same material as safety belts.\n•\tAdjustable on the neck and waist.\n•\tHas two spots to attach to the leash: neck and waist.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material das cintas seguras.\n•\tAjustável na garganta e no pescoço.\n•\tPossui duas pequenas áreas para anexar à correia: garganta e pescoço.\n•\tTranca de super resistente com um sistema de segurança.\n•\tProduto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39162486128740,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Non-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n-Practical to put on and comfortable to wear.\n-Super resistent lock with a safety system.\n-Product indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Tecido não aquecedor : feito de tecido aerado que permite ventilação da pele e do pelo.\n-Prático para colocar e confortável para usar.\n-Super resistente ferrolho com sistema de segurança.\n-Produto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39162502479972,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tNon-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n•\tAdjustable in the belly and neck.\n•\tPractical to put on and comfortable to wear.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs. Super resistant lock with a safety system.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tTecido não aquecedor : feito de tecido aerado que permite ventilação da pele e pelo.\n•\tAjustável no barriga e pescoço.\n•\tPrático para colocar e confortável para usar.\n•\tFerragem super resistente com sistema de segurança.\n•\tProduto indicado apenas para cães. Ferragem super resistente com sistema de segurança.\n""}]}]}"
METAFIELD,'39162518667364,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39162566475876,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39162596851812,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
METAFIELD,'39162631880804,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of polyester, the same material as safety belts.\n•\tAdjustable on the neck and waist.\n•\tHas two spots to attach to the leash: neck and waist.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material das cintas seguras.\n•\tAjustável na garganta e no pescoço.\n•\tPossui duas pequenas áreas para anexar à correia: garganta e pescoço.\n•\tTranca de super resistente com um sistema de segurança.\n•\tProduto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39162684866660,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Non-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n-Practical to put on and comfortable to wear.\n-Super resistent lock with a safety system.\n-Product indicated only for dogs.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""-Tecido não aquecedor : feito de tecido aerado que permite ventilação da pele e do pelo.\n-Prático para colocar e confortável para usar.\n-Super resistente ferrolho com sistema de segurança.\n-Produto indicado apenas para cães.\n""}]}]}"
METAFIELD,'39162717831268,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tNon-heating fabric : made of aerated fabric that allows skin and fur ventilation.\n•\tAdjustable in the belly and neck.\n•\tPractical to put on and comfortable to wear.\n•\tSuper resistant lock with a safety system.\n•\tProduct indicated only for dogs. Super resistant lock with a safety system.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tTecido não aquecedor : feito de tecido aerado que permite ventilação da pele e pelo.\n•\tAjustável no barriga e pescoço.\n•\tPrático para colocar e confortável para usar.\n•\tFerragem super resistente com sistema de segurança.\n•\tProduto indicado apenas para cães. Ferragem super resistente com sistema de segurança.\n""}]}]}"
METAFIELD,'39162733985892,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tOnly size that can be adjusted.\n•\tExclusive breakaway lock that will break open if the cat gets tangled.\n•\tPrinted polyester with heat transfer teteron technology.\n•\tZee.Cat rubber logo, made of non-toxic material.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tApenas tamanho que pode ser ajustado.\n•\tFerramenta exclusiva de segurança desbloqueável que se abre automaticamente se o gato for enrolado.\n•\tPoliéster impresso com tecnologia de transferência térmica teretona.\n•\tLogotipo Zee.Cat de borracha, feito de materiais não tóxicos.\n""}]}]}"
METAFIELD,'39162785988708,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPolyester webbing.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks.\n•\tBuckle with 4-point safety lock system.\n•\tAdjustable, to better fit the neck.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tPoliéster em tecido. \n•\tCalota de cão Zeedog de rubor, feita de material não tóxico.\n•\tTextura suave para oferecer mais conforto durante passeios.\n•\tFecho com sistema de bloqueio de segurança a 4 pontos.\n•\tAjustável, para melhor caber o colarinho.""}]}]}"
METAFIELD,'39162829340772,value,pt-PT,,,"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSafety and resistance: made of poliester, the same material as safety belts.\n•\tRubber Zee.Dog skull, made of non-toxic material.\n•\tSoft texture to provide more comfort during walks. \n•\tSuper Zinc-alloy hook.\n•\tHook with a safety lock in the sizes Small and Large.\n•\tPerfect length to absorve the pulling force.\n•\tExclusive print.\n""}]}]}","{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""•\tSegurança e resistência: feito de poliéster, o mesmo material que as cintas-de-segurança.\n•\tCalota Zee.Dog de borracha, feita de um material não tóxico.\n•\tTextura mole para oferecer mais conforto durante as caminhadas.\n•\tSuper Açude de ligação a zíncio.\n•\tAncoragem com uma segurança lock nas dimensões Pequena e Grande.\n•\tComprimento ideal para absorver a força de tração.\n•\tImpressão exclusiva.\n""}]}]}"
